N°,Etiquette,Auteur et titre,Année
1,BHbe1,Balzac Honoré de - La cousine Bette,1846
2,CFat1,Chateaubriand François-René de - Atala,1801
3,DAmc1,Dumas Alexandre - Le comte de Monte Cristo,1845
4,FGbp1,Flaubert Gustave - Bouvard et Pécuchet,1881
5,GTav1,Gautier Théophile – Avatar,1856
6,GEge1,Goncourt Edmond et Jules de - Madame Gervaisais,1869
7,HVmi1,Hugo Victor - Les Misérables,1862
8,HJar1,Huysmans Joris-Karl - A rebours,1887
9,LAgr1,Lamartine (Alphonse de) - Graziella,1852
10,MGba1,Maupassant Guy de - Bel-Ami,1885
11,MAco1,Musset Alfred de - La Confession d’un enfant du siècle,1836
12,NGau1,Nerval Gérard de - Aurélia,1855
13,SGfa3,Sand George - La Petite Fadette,1851
14,SHch1,Stendhal (Henri Beyle) La Chartreuse de Parme,1839
15,VJtl1,Verne Jules - De la terre à la lune,1865
16,VAcm1,Vigny Alfred de - Cinq-Mars,1826
17,ZEar1,Zola Emile - L'Argent,1891
18,BHbe2,Balzac Honoré de - La cousine Bette,1846
19,CFat2,Chateaubriand François-René de - Atala,1801
20,DAmc2,Dumas Alexandre - Le comte de Monte Cristo,1845
21,FGbp2,Flaubert Gustave - Bouvard et Pécuchet,1881
22,GTav2,Gautier Théophile - Avatar,1856
23,GEge2,Goncourt Edmond et Jules de - Madame Gervaisais,1869
24,HVmi2,Hugo Victor - Les Misérables.,1862
25,HJar2,Huysmans Joris-Karl - A rebours,1887
26,LAgr2,Lamartine (Alphonse de) - Graziella,1849
27,MGba2,Maupassant Guy de - Bel-Ami,1885
28,MAco2,Musset Alfred de - La Confession d’un enfant du siècle,1836
29,NGau2,Nerval Gérard de - Aurélia,1855
30,SGfa4,Sand George - La Petite Fadette,1851
31,SHch2,Stendhal (Henri Beyle) La Chartreuse de Parme,1839
32,VJtl2,Verne Jules - De la terre à la lune,1865
33,VAcm2,Vigny Alfred de- Cinq-Mars,1826
34,ZEar2,Zola Emile - L'Argent,1891
35,BHbe3,Balzac Honoré de - La cousine Bette,1846
36,CFat3,Chateaubriand François-René de - René,1802
37,DAmc3,Dumas Alexandre - Le comte de Monte Cristo,1845
38,FGbo1,Flaubert Gustave - Madame Bovary,1857
39,GTje1,Gautier Théophile – Jettatura,1856
40,GEgl1,Goncourt Edmond et Jules de - Germinie Lacerteux,1864
41,HVmi3,Hugo Victor - Les Misérables.,1862
42,LAgr3,Lamartine (Alphonse de) - Graziella,1852
43,MGnc1,Maupassant (Guy de) - Notre coeur,1890
44,MAco3,Musset Alfred de - La Confession d’un enfant du siècle,1836
45,SGin1,Sand George - Indiana,1832
46,SHch3,Stendhal (Henri Beyle) La Chartreuse de Parme,1839
47,VJtm1,Verne Jules - Le tour du monde en quatre-vingt jours,1872
48,VAcm3,Vigny Alfred de - Cinq-Mars,1826
49,ZEas1,Zola Émile - L’Assommoir,1879
50,BHbi1,Balzac Honoré de - Histoire de la grandeur et de la décadence de César Birotteau,1837
51,DAtm1,Dumas Alexandre – Les trois mousquetaires,1844
52,FGbo2,Flaubert Gustave - Madame Bovary : moeurs de province,1857
53,GTje2,Gautier Théophile – Jettatura,1856
54,GEgl2,Goncourt Edmond et Jules de - Germinie Lacerteux,1864
55,HVnd1,Hugo Victor - Notre Dame de Paris,1831
56,MGnc2,Maupassant (Guy de) - Notre coeur,1890
57,SGin2,Sand George - Indiana,1832
58,SHrn1,Stendhal (Henri Beyle) - Le Rouge et le Noir,1830
59,VJtm2,Verne Jules - Le tour du monde en quatre-vingt jours,1872
60,ZEas2,Zola Émile - L’Assommoir,1879
61,BHbi2,Balzac Honoré de - Histoire de la grandeur et de la décadence de César Birotteau,1837
62,DAtm2,Dumas Alexandre – Les trois mousquetaires,1844
63,FGbo3,Flaubert Gustave - Madame Bovary,1857
64,GTsp1,Gautier Théophile – Spirite,1865
65,GEgl3,Goncourt Edmond et Jules de - Germinie Lacerteux,1864
66,HVnd2,Hugo Victor - Notre Dame de Paris,1831
67,MGfm1,Maupassant Guy de - Fort comme la mort,1889
68,SGmd1,Sand George - La mare au diable,1846
69,SHrn2,Stendhal (Henri Beyle) - Le Rouge et le Noir -,1830
70,VAsg1,Vigny Alfred de - Servitude et grandeur militaires,1835
71,ZEbh1,Zola Emile - La bête humaine,1890
72,BHch1,Balzac Honoré de - Le Colonel Chabert,1832
73,DAtm3,Dumas Alexandre – Les trois mousquetaires,1844
74,FGcs1,Flaubert Gustave - Un coeur simple,1877
75,HVnd3,Hugo Victor - Notre Dame de Paris,1831
76,FGes1,Flaubert Gustave - L'Education Sentimentale,1869
77,MGfm2,Maupassant Guy de - Fort comme la mort,1889
78,SGmd2,Sand George - La mare au diable,1846
79,VAsg2,Vigny Alfred de - Servitude et grandeur militaires,1835
80,ZEbh2,Zola Emile - La bête humaine,1890
81,BHch2,Balzac Honoré de - Le Colonel Chabert,1832
82,FGes2,Flaubert Gustave - L'Education Sentimentale,1869
83,MGmo1,Maupassant Guy de - Mont Oriol,1886
84,ZEfr1,Zola Émile - La Fortune des Rougon,1871
85,BHgo1,Balzac (Honoré de) - Le père Goriot,1835
86,FGtr1,Flaubert Gustave - Hérodias - Trois contes,1877
87,MGmo2,Maupassant Guy de - Mont Oriol,1886
88,ZEfr2,Zola Émile - La Fortune des Rougon,1871
89,BHgr1,Balzac Honoré de - Eugénie Grandet,1833
90,FGsa1,Flaubert Gustave - Salammbô,1862
91,MGmo3,Maupassant Guy de - Mont Oriol,1886
92,ZEge1,Zola Emile - Germinal,1885
93,BHgr2,Balzac Honoré de - Eugénie Grandet,1833
94,FGsa2,Flaubert Gustave - Salammbô,1862
95,BHgo2,Balzac Honoré de - Le père Goriot,1835
96,MGuv1,Maupassant Guy de - Une vie,1883
97,BHnu1,Balzac Honoré de –La Maison Nucingen,1838
98,ZEge2,Zola Emile - Germinal,1885
99,SHrn3,Stendhal (Henri Beyle) - Le Rouge et le Noir,1830
100,BHnu2,Balzac Honoré de - La Maison Nucingen,1838
101,BJct1,Barbey d'Aurevilly Jules - Le chevallier des Touches,1864
102,BPid1,Bourget Paul - Une idylle tragique,1896
103,DTpc1,Daudet Alphonse – Le Petit Chose,1868
104,DAvb1,Dumas Alexandre - Le Vicomte de Bragelonne,1847
105,SAde1,Staël-Holstein Anne-Louise (Madame de) - Delphine,1803
106,EChc1,Erckmann Emile & Chatrian Alexandre - Histoire d’un conscrit de 1813,1864
107,FAbo1,France Anatole - Le crime de Sylvestre Bonnard,1881
108,FEdo1,Fromentin Eugène – Dominique,1862
109,HVmi4,Hugo Victor - Les Misérables.,1862
110,HJhf1,Huysmans Joris-Karl – Marthe histoire d’une fille,1876
111,LAge1,Lamartine Alphonse de – Geneviève,1851
112,LPpi1,Loti Pierre - Pêcheur d’Islande,1886
113,NGil1,Nerval Gérard de - Les Illuminés,1852
114,PMpj1,Proust Marcel - Les plaisirs et les jours,1896
115,RHbr1,Régnier Henri de - Les Rencontres de Monsieur de Bréot,1901
116,SGfa1,Sand Georges - La petite Fadette,1832
117,SBvo1,Sainte-Beuve Charles-Augustin – Volupté,1834
118,SEmy1,Sue Eugène - Les Mystères de Paris,1842
119,BJct2,Barbey d'Aurevilly Jules - Le chevallier des Touches,1864
120,BPid2,Bourget Paul - Une idylle tragique,1896
121,DTpc2,Daudet Alphonse – Le Petit Chose,1868
122,DAvb2,Dumas Alexandre - Le Vicomte de Bragelonne,1847
123,SAde2,Staël-Holstein Anne-Louise (Madame de) - Delphine,1803
124,EChc2,Erckmann Emile & Chatrian Alexandre - Histoire d’un conscrit de 1813,1864
125,FAbo2,France Anatole - Le crime de Sylvestre Bonnard,1881
126,FEdo2,Fromentin Eugène – Dominique,1862
127,HVmi5,Hugo Victor - Les Misérable,1862
128,HJhf2,Huysmans Joris-Karl – Marthe histoire d’une fille,1876
129,LAge2,Lamartine Alphonse de – Geneviève,1851
130,LPpi2,Loti Pierre - Pêcheur d’Islande,1886
131,NGil2,Nerval Gérard de - Les Illuminés,1852
132,PMpj2,Proust Marcel - Les plaisirs et les jours,1896
133,RHbr2,Régnier Henri de - Les Rencontres de Monsieur de Bréot,1901
134,SGin3,Sand George - Indiana,1832
135,SBvo2,Sainte-Beuve Charles-Augustin – Volupté,1834
136,SEmy2,Sue Eugène - Les Mystères de Paris,1842
137,BJct3,Barbey d'Aurevilly Jules - Le chevallier des Touches,1864
138,BPid3,Bourget Paul - Une idylle tragique,1896
139,DTpc3,Daudet Alphonse – Le Petit Chose,1868
140,DAvb3,Dumas Alexandre - Le Vicomte de Bragelonne,1847
141,SAde3,Staël-Holstein Anne-Louise (Madame de) - Delphine,1803
142,EChc3,Erckmann Emile & Chatrian Alexandre - Histoire d’un conscrit de 1813,1864
143,FAbo3,France Anatole - Le crime de Sylvestre Bonnard,1881
144,FEdo3,Fromentin Eugène – Dominique,1862
145,LAge3,Lamartine Alphonse de – Geneviève,1851
146,LPpi3,Loti Pierre - Pêcheur d’Islande,1886
147,NGil3,Nerval Gérard de - Les Illuminés,1852
148,PMpj3,Proust Marcel - Les plaisirs et les jours,1896
149,RHbr3,Régnier Henri de - Les Rencontres de Monsieur de Bréot,1901
150,SGfa2,Sand George - La Petite Fadette,1851
151,SBvo3,Sainte-Beuve Charles-Augustin – Volupté,1834
152,SEmy3,Sue Eugène - Les Mystères de Paris,1842
153,BJct4,Barbey d'Aurevilly Jules - Le chevallier des Touches,1864
154,BPid4,Bourget Paul - Une idylle tragique,1896
155,DTpc4,Daudet Alphonse – Le Petit Chose,1868
156,DAvb4,Dumas Alexandre - Le Vicomte de Bragelonne,1847
157,SAde4,Staël-Holstein Anne-Louise (Madame de) - Delphine,1803
158,EChc4,Erckmann Emile & Chatrian Alexandre - Histoire d’un conscrit de 1813,1864
159,FAbo4,France Anatole - Le crime de Sylvestre Bonnard,1881
160,FEdo4,Fromentin Eugène – Dominique,1862
161,LAge4,Lamartine Alphonse de – Geneviève,1851
162,LPpi4,Loti Pierre - Pêcheur d’Islande,1886
163,RHbr4,Régnier Henri de - Les Rencontres de Monsieur de Bréot,1901
164,SGin4,Sand George - Indiana,1832
165,SBvo4,Sainte-Beuve Charles-Augustin – Volupté,1834
166,SEmy4,Sue Eugène - Les Mystères de Paris,1842
167,BJdi1,Barbey d'Aurevilly Jules - Les Diabolique,1874
168,BPid5,Bourget Paul - Une idylle tragique,1896
169,DTpc5,Daudet Alphonse – Le Petit Chose,1868
170,FApe1,France Anatole - La Rôtisserie de la reine Pédauque,1893
171,FEdo5,Fromentin Eugène – Dominique,1862
172,LPpi5,Loti Pierre - Pêcheur d’Islande,1886
173,RHdm1,Régnier Henri de - La Double Maîtresse,1900
174,SEmy5,Sue Eugène - Les Mystères de Paris,1842
175,BJdi2,Barbey d'Aurevilly Jules - Les Diabolique,1874
176,BPid6,Bourget Paul - Une idylle tragique,1896
177,DTpc6,Daudet Alphonse – Le Petit Chose,1868
178,FApe2,France Anatole - La Rôtisserie de la reine Pédauque,1893
179,LPmc1,Loti Pierre - Madame Chrysanthème,1899
180,RHdm2,Régnier Henri de - La Double Maîtresse,1900
181,SBvo5,Sainte-Beuve Charles-Augustin – Volupté,1834
182,SEmy6,Sue Eugène - Les Mystères de Paris,1842
183,SAde5,Staël-Holstein Anne-Louise (Madame de) - Delphine,1803
184,BJdi3,Barbey d'Aurevilly Jules - Les Diaboliques,1874
185,VAen1,Vallès Jules - L'Enfant,1879
186,FApe3,France Anatole - La Rôtisserie de la reine Pédauque,1893
187,LPmc2,Loti Pierre - Madame Chrysanthème,1899
188,RHdm3,Régnier Henri de - La Double Maîtresse,1900
189,SBvo6,Sainte-Beuve Charles-Augustin – Volupté,1834
190,SEmy7,Sue Eugène - Les Mystères de Paris,1842
191,SAde6,Staël-Holstein Anne-Louise (Madame de) - Delphine,1803
192,BJdi4,Barbey d'Aurevilly Jules - Les Diaboliques,1874
193,VAen2,Vallès Jules - L'Enfant,1879
194,RHdm4,Régnier Henri de - La Double Maîtresse,1900
195,SEmy8,Sue Eugène - Les Mystères de Paris,1842
196,FApe4,France Anatole - La Rôtisserie de la reine Pédauque,1893
197,VAen2,Vallès Jules - L'Enfant,1879
198,SEmy9,Sue Eugène - Les Mystères de Paris,1842
199,VAen4,Vallès Jules - L'Enfant,1879
200,SEmy10,Sue Eugène - Les Mystères de Paris,1842
